orth,freq,log_freq
chin,27,3.36729583
chip,17,2.944438979
chive,1,1.098612289
choice,113,4.744932128
choir,8,2.302585093
choke,9,2.397895273
chomp,1,1.098612289
choose,50,3.951243719
chop,3,1.609437912
chord,7,2.197224577
chore,7,2.197224577
chose,37,3.663561646
chow,2,1.386294361
christ,97,4.59511985
chrome,4,1.791759469
chuck,14,2.772588722
chuckle,5,1.945910149
chum,1,1.098612289
chump,1,1.098612289
chunk,2,1.386294361
church,348,5.857933154
chute,2,1.386294361
cinch,3,1.609437912
cite,7,2.197224577
clad,7,2.197224577
claim,98,4.605170186
clam,3,1.609437912
clan,2,1.386294361
clang,1,1.098612289
clap,1,1.098612289
claps,2,1.386294361
clare,1,1.098612289
clash,5,1.945910149
class,207,5.342334252
clause,9,2.397895273
claw,1,1.098612289
clay,100,4.624972813
clean,70,4.276666119
clear,219,5.398162702
cleat,1,1.098612289
cleft,2,1.386294361
clench,1,1.098612289
clerk,34,3.583518938
click,2,1.386294361
client,15,2.833213344
cliff,11,2.564949357
climb,12,2.63905733
clinch,2,1.386294361
cling,6,2.079441542
clint,4,1.791759469
clip,6,2.079441542
clips,2,1.386294361
clique,2,1.386294361
cloak,3,1.609437912
clock,20,3.091042453
clod,1,1.098612289
clog,2,1.386294361
close,234,5.463831805
clot,3,1.609437912
cloth,43,3.80666249
clothe,1,1.098612289
cloud,28,3.401197382
clout,1,1.098612289
clove,1,1.098612289
clown,3,1.609437912
club,145,4.990432587
cluck,3,1.609437912
clue,15,2.833213344
clump,4,1.791759469
clumps,4,1.791759469
clung,14,2.772588722
clutch,5,1.945910149
co,48,3.912023005
coach,24,3.258096538
coal,32,3.526360525
coarse,10,2.48490665
coast,61,4.143134726
coat,43,3.80666249
coax,1,1.098612289
coble,1,1.098612289
cock,5,1.945910149
cod,6,2.079441542
code,40,3.737669618
coe,5,1.945910149
coil,6,2.079441542
coin,10,2.48490665
coke,4,1.791759469
col,7,2.197224577
cold,171,5.153291594
cole,1,1.098612289
